S/N,BRAND,MODEL,LOCATION,DATE ENTERED,OnHand
PHC7F01160,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D00641,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D01360,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7F01172,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D01355,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D01364,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D00704,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7D00709,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7F01399,HP,M402M,HO,2018-02-12 00:00:00,259.000000
PHC7F01395,HP,M402M,HO,2018-02-12 00:00:00,259.000000
MY81FFB002,- No Manufacturer -,772DW,CEB,2018-02-13 00:00:00,5.000000
MY81FFB006,- No Manufacturer -,772DW,CEB,2018-02-13 00:00:00,5.000000
MY81CFB006,- No Manufacturer -,772DW,CEB,2018-02-13 00:00:00,5.000000
MY81FFB005,- No Manufacturer -,772DW,CEB,2018-02-13 00:00:00,5.000000
MY81CFB005,- No Manufacturer -,772DW,CEB,2018-02-13 00:00:00,5.000000
CNB1KCV3CD,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CF,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV39X,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV39S,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37G,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV39P,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3BM,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV385,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV389,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CM,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CR,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV395,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3D8,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV39L,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3D9,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3D5,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV38T,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV392,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV38C,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV38X,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3BB,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37C,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV38L,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CK,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CJ,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CG,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37F,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3DB,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3CN,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37R,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV381,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3B5,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV39N,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3D4,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37L,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV37Q,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3BD,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNB1KCV3B8,SAMSUNG,SL-M4580FX,HO,2018-02-14 00:00:00,49.000000
CNFXF11574,HP,4250N,BAC,2018-02-22 00:00:00,2.000000
CNHXS33624,HP,4250N,ILO,2018-02-22 00:00:00,2.000000
CNDXJ4W8D8,HP,M605DN,HO,2018-02-22 00:00:00,3.000000
WQS05048,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05666,CANON,MF237W,DAV,2018-02-23 00:00:00,91.000000
WQS05337,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05435,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05066,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05073,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05427,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05319,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05333,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05443,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05064,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05328,CANON,MF237W,DAV,2018-02-23 00:00:00,91.000000
WQS05322,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WQS05325,CANON,MF237W,CEB,2018-02-23 00:00:00,91.000000
WUE22249,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
WUE22267,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
WUE12832,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
WUE12827,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
WUE22263,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
WUE22258,- No Manufacturer -,MF633CDW,HO,2018-02-22 00:00:00,8.000000
UVQ02778,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02746,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02780,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02742,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02743,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02777,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02747,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02744,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
UVQ02781,CANON,MF515X,REFURB,2018-02-24 00:00:00,9.000000
CNFY402377,HP,P4015N,DAV,2017-11-01 00:00:00,15.000000
MNBA006809,CANON,LBP7110CW,DAV,2018-02-27 00:00:00,1.000000
TMY05479,CANON,MF628CW,DAV,2018-02-27 00:00:00,4.000000
ZDF1BJCH5000A7L,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
ZDF1BJCH5000DSV,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
ZDF1BJEJ100008N,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
ZDF1BJEJ10001AV,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
ZDF1BJEJ100021L,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
ZDF1BJEJ100035E,SAMSUNG,SL-M4020,DAV,2018-02-27 00:00:00,261.000000
VGFK195895,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
VGFK195908,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
VGFK192983,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
VGFK195853,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
VGFK195875,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
VGFK195879,EPSON,L360,DAV,2017-11-01 00:00:00,27.000000
CNB8K3D0HQ,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K3F075,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K430DK,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K430F0,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K430FF,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K4C0QT,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K4D0GN,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
CNB8K4D0GW,HP,M436N,DAV,2018-02-27 00:00:00,33.000000
NEAA006844,CANON,LBP253X,DAV,2018-02-27 00:00:00,4.000000
ZDDDBJCF70007VW,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH30002FR,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH30002QA,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH300033F,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH30003VT,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH40000YR,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH400014Z,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH400018X,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
ZDDDBJCH40003WZ,SAMSUNG,SL-M3820ND,DAV,2018-02-27 00:00:00,19.000000
NDMA576999,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA577024,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA577049,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA784391,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA785216,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA785381,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA737368,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA784375,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA785407,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA811612,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA729155,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA729161,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA737363,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA737366,CANON,LBP2900,DAV,2018-02-27 00:00:00,123.000000
NDMA917119,CANON,LBP2900,HO,2018-03-01 00:00:00,123.000000
NDMA883231,CANON,LBP2900,HO,2018-03-01 00:00:00,123.000000
VGFK329823,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329814,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329518,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329813,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329792,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329798,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329810,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
VGFK329809,EPSON,L360,HO,2018-03-01 00:00:00,27.000000
CNB6D5XH9H,HP,M425DN,HO,2018-03-02 00:00:00,5.000000
WQS05718,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05720,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS04788,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05706,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05688,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05681,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05699,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05675,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS04791,CANON,MF237W,CEB,2018-03-03 00:00:00,91.000000
WQS05680,CANON,MF237W,CEB,2018-03-03 00:00:00,91.000000
WQS04796,CANON,MF237W,CEB,2018-03-03 00:00:00,91.000000
WQS05695,CANON,MF237W,CEB,2018-03-03 00:00:00,91.000000
WQS05070,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05709,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05694,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05693,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS04798,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
WQS05713,CANON,MF237W,BAC,2018-03-03 00:00:00,91.000000
0AEKB1BH50000QF,SAMSUNG,SL-X3220NR,HO,2018-03-06 00:00:00,2.000000
VJLY067674,EPSON,L565,BAC,2018-03-07 00:00:00,23.000000
VJLY067668,EPSON,L565,BAC,2018-03-07 00:00:00,23.000000
VJLY067664,EPSON,L565,BAC,2018-03-07 00:00:00,23.000000
VJLY067666,EPSON,L565,HO,2018-03-07 00:00:00,23.000000
CNBXJ7HG5G,HP,M706N,HO,2018-03-07 00:00:00,21.000000
WTY13307,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13314,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13312,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13309,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13442,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13308,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13313,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
WTY13310,CANON,MF635CX,HO,2018-03-08 00:00:00,17.000000
PHCFB14176,HP,M402N,HO,2018-03-10 00:00:00,3.000000
PHCFB14174,HP,M402N,HO,2018-03-10 00:00:00,3.000000
PHCFB13914,HP,M402N,HO,2018-03-10 00:00:00,3.000000
CNB8K2S002,- No Manufacturer -,Z8Z06A,HO,2018-03-10 00:00:00,4.000000
CNB8K4G04P,- No Manufacturer -,Z8Z06A,HO,2018-03-10 00:00:00,4.000000
CNB8K4G04Q,- No Manufacturer -,Z8Z06A,HO,2018-03-10 00:00:00,4.000000
CNB8K2R023,- No Manufacturer -,Z8Z06A,HO,2018-03-10 00:00:00,4.000000
CNBXGDD41J,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNC1S05764,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXK3C4VJ,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXJBM5LN,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXG929G3,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXH5D32V,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXJ9X9GF,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXJD4BVS,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNBXH4BMXY,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNC1T85078,HP,M706N,HO,2018-03-12 00:00:00,21.000000
CNC8C8N811,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C9Y60B,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C96818,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C96813,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C8N80C,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C8N80N,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C9680N,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C9680L,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
CNC8C96810,HP,M4555,REFURB,2018-03-12 00:00:00,15.000000
JPCGB00163,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNFXK31457,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNFXC84875,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNCXC72130,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNCXC63336,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
JPCGB00168,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNCXC76948,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
JPCGB00162,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNCXB76996,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
CNDXB01323,HP,5200N,REFURB,2018-03-12 00:00:00,10.000000
WQS04797,CANON,MF237W,HO,2018-03-16 00:00:00,91.000000
WQS04790,CANON,MF237W,HO,2018-03-16 00:00:00,91.000000
WQS04701,CANON,MF237W,HO,2018-03-16 00:00:00,91.000000
WQS05698,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS05707,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS04787,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS04715,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS04710,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS05697,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS04786,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
WQS04793,CANON,MF237W,CEB,2018-03-16 00:00:00,91.000000
AK5B015370A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015443A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016377A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015375A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015337A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016384A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016378A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016403A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016374A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015441A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015442A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016382A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016375A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015372A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015332A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015450A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016383A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016381A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016385A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016376A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015448A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015373A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016407A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015377A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015447A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015440A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016379A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015378A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016398A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015439A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015336A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016380A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015449A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015459A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015461A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015455A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015376A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015369A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015374A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015367A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015458A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015456A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015445A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015446A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015444A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015452A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015333A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015437A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015335A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015339A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015368A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015338A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016402A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015341A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015462A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015454A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015451A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016400A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015431A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015435A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015460A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015453A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015334A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015340A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015342A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016404A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016399A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015427A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015428A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016406A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016408A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015430A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015434A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015436A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015331A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015432A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015433A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015438A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015429A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016409A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016405A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016334A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016331A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016326A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015371A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016335A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016329A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016336A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015465A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015463A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016337A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016333A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016332A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015466A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B015464A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016401A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016327A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016330A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
AK5B016328A0,OKI,C531DN,REFURB,2018-03-16 00:00:00,99.000000
CNB2KC9HZ6,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J13,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J0X,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYH,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HXX,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J14,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYM,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYV,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J0K,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYQ,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HXW,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J0W,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZ8,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYB,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HXZ,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HY0,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
